product_id,title,description,category,price
P0001,Handmade Mug,"A handmade mug built to last, loved by thousands of customers.",Gifts & Novelty,38.71
P0002,Compact Sleeping Bag,Compact Sleeping Bag designed for everyday use. Durable construction and reliable performance.,Outdoor & Camping,333.49
P0003,Minimalist Keychain,Minimalist Keychain designed for everyday use. Durable construction and reliable performance.,Gifts & Novelty,68.02
P0004,Portable Headphones,Portable Headphones designed for everyday use. Durable construction and reliable performance.,Electronics,185.62
P0005,Breathable Hiking Boots,"This breathable hiking boots combines comfort, style, and function.",Footwear,49.18
P0006,Wireless Earbuds,Our best-selling wireless earbuds — perfect for gifts or personal use.,Electronics,59.46
P0007,Minimalist Desk Ornament,"This minimalist desk ornament combines comfort, style, and function.",Gifts & Novelty,12.76
P0008,Warm Fleece Pullover,"This warm fleece pullover combines comfort, style, and function.",Apparel,131.53
P0009,Non-Stick Toaster,Our best-selling non-stick toaster — perfect for gifts or personal use.,Home & Kitchen,136.23
P0010,Rustic Photo Frame,"A rustic photo frame built to last, loved by thousands of customers.",Gifts & Novelty,66.06
P0011,Compact Headlamp,"A compact headlamp built to last, loved by thousands of customers.",Outdoor & Camping,21.9
P0012,Lightweight Sandals,Lightweight Sandals designed for everyday use. Durable construction and reliable performance.,Footwear,175.34
P0013,Electric Knife Set,"A electric knife set built to last, loved by thousands of customers.",Home & Kitchen,184.81
P0014,Trail Loafers,Trail Loafers designed for everyday use. Durable construction and reliable performance.,Footwear,57.91
P0015,Cozy Rain Coat,"A cozy rain coat built to last, loved by thousands of customers.",Apparel,37.09
P0016,Elegant Gift Box Set,"A elegant gift box set built to last, loved by thousands of customers.",Gifts & Novelty,23.04
P0017,Noise-Cancelling Smartwatch,Noise-Cancelling Smartwatch designed for everyday use. Durable construction and reliable performance.,Electronics,101.71
P0018,Breathable Cleats,"A breathable cleats built to last, loved by thousands of customers.",Footwear,106.34
P0020,Moisture-Wicking Fleece Pullover,"A moisture-wicking fleece pullover built to last, loved by thousands of customers.",Apparel,52.19
P0021,Heavy-Duty Backpack,Our best-selling heavy-duty backpack — perfect for gifts or personal use.,Outdoor & Camping,219.97
P0022,Engraved Desk Ornament,Engraved Desk Ornament designed for everyday use. Durable construction and reliable performance.,Gifts & Novelty,19.44
P0023,Compact Speaker,"This compact speaker combines comfort, style, and function.",Electronics,98.26
P0024,Personalized Candle,"Upgrade your routine with this personalized candle, made from quality materials.",Gifts & Novelty,38.04
P0025,Moisture-Wicking Thermal Leggings,"This moisture-wicking thermal leggings combines comfort, style, and function.",Apparel,74.94
P0026,Insulated Backpack,Insulated Backpack designed for everyday use. Durable construction and reliable performance.,Outdoor & Camping,278.03
P0027,Foldable Tent,"A foldable tent built to last, loved by thousands of customers.",Outdoor & Camping,81.89
P0028,Moisture-Wicking Jacket,Our best-selling moisture-wicking jacket — perfect for gifts or personal use.,Apparel,82.96
P0029,Compact Power Bank,Our best-selling compact power bank — perfect for gifts or personal use.,Electronics,183.84
P0030,Rustic Journal,"Upgrade your routine with this rustic journal, made from quality materials.",Gifts & Novelty,11.81
P0031,Heavy-Duty Sleeping Bag,Our best-selling heavy-duty sleeping bag — perfect for gifts or personal use.,Outdoor & Camping,218.53
P0032,Elegant Keychain,"A elegant keychain built to last, loved by thousands of customers.",Gifts & Novelty,21.98
P0033,Elegant Journal,"This elegant journal combines comfort, style, and function.",Gifts & Novelty,13.33
P0034,Moisture-Wicking Hoodie,Our best-selling moisture-wicking hoodie — perfect for gifts or personal use.,Apparel,142.95
P0036,Cushioned Winter Boots,Our best-selling cushioned winter boots — perfect for gifts or personal use.,Footwear,150.3
P0037,Rustic Keychain,Rustic Keychain designed for everyday use. Durable construction and reliable performance.,Gifts & Novelty,32.98
P0038,Fleece-Lined Rain Coat,"Upgrade your routine with this fleece-lined rain coat, made from quality materials.",Apparel,25.48
P0039,Rechargeable Earbuds,Rechargeable Earbuds designed for everyday use. Durable construction and reliable performance.,Electronics,210.01
P0040,Minimalist Mug,"This minimalist mug combines comfort, style, and function.",Gifts & Novelty,44.09
P0041,Dishwasher-Safe Air Fryer,Dishwasher-Safe Air Fryer designed for everyday use. Durable construction and reliable performance.,Home & Kitchen,35.63
P0042,Compact Cookware Set,"Upgrade your routine with this compact cookware set, made from quality materials.",Home & Kitchen,113.99
P0043,Insulated Loafers,Our best-selling insulated loafers — perfect for gifts or personal use.,Footwear,30.33
